pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
969516,87879,lari,,11,2018,1,,for_sale,flat,Apartments,Rustavi,,,,Newly renovated,2,1,1,,6,
969514,37282,lari,,11,2018,1,,for_sale,flat,Apartments,Rustavi,,,,Newly renovated,2,1,1,,3,
969497,1731,lari,month,11,2018,89,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,,,,3,2,1,1,12,
969487,1864,lari,month,11,2018,135,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,3,2,2,1,5,new building
969482,240000,lari,,11,2018,270,330,for_sale,private_house,House,Borjomi,,,,Partially white frame,11,5,3,1,,new building
969480,386135,lari,,11,2018,240,280,for_sale,private_house,House,Tbilisi,Isani-Samgori,Isani,Meskheti st.,Newly renovated,12,6,6,,,new building
958659,679065,lari,,11,2018,165,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Lisi lake,,White Frame,4,3,2,3,6,new building
969473,932,lari,month,11,2018,86,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,A.Tsereteli ave.,Newly renovated,3,2,1,3,10,
960876,146465,lari,,11,2018,120,140,for_sale,private_house,House,Tbilisi,Isani-Samgori,Isani,Doesi st.,Newly renovated,5,3,3,,,old building
967837,650,lari,month,11,2018,32,,for_rent,flat,Apartments,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,,Old renovated,1,1,2,,6,old building
967839,66575,lari,year,11,2018,65,,for_lease,flat,Apartments,Tbilisi,Isani-Samgori,Samgori,Kakheti highway,Newly renovated,2,1,2,,2,old building
969466,356576,lari,,11,2018,103,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,2,16,new building
969460,1000,lari,month,11,2018,90,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Dolidze st.,Newly renovated,2,1,1,,8,old building
964160,5925,lari,,11,2018,,800,for_sale,land,Land,Signagi,,,,,,,,,,
